,Dim1,Dim2,type
justification,-0.3753068408604398,-0.057528313896451945,role
legal_normative,0.49028868223132355,-0.3620951276646879,role
sovereignty_norm,0.5730174925968403,0.31366562940928294,role
historical_context,0.09764951262500865,0.5907732195500103,role
victim_narrative,-0.5443810087011568,0.2663499060749498,role
Cold War (1946–1989),0.7992311217131493,0.5874128326032887,period
Post–Cold War (1990–2001),0.35358636551342776,-0.3838684139310973,period
Post-9/11 Security Turn (2002–2013),-0.40446855183268604,0.07067355311674053,period
Post-2014 Normative Fragmentation,-0.22790501727434617,0.07762571425242926,period
